in:76 out:74 type:P q:0.00 q-aq:0.00 q-noVbv:-2.58 q-Rceq:1.08 tex:3442 mv:204 misc:270 icu:25.25 pcu:36.50 scu:1762.25 ;
in:75 out:75 type:B q:1.14 q-aq:0.82 q-noVbv:1.14 q-Rceq:1.08 tex:2310 mv:158 misc:281 icu:24.25 pcu:37.75 scu:1762.00 ;
in:74 out:76 type:b q:2.27 q-aq:1.81 q-noVbv:2.27 q-Rceq:1.08 tex:2222 mv:163 misc:259 icu:24.75 pcu:21.00 scu:1778.25 ;
in:81 out:77 type:P q:0.00 q-aq:0.00 q-noVbv:-2.92 q-Rceq:1.08 tex:2310 mv:199 misc:263 icu:24.50 pcu:21.75 scu:1777.75 ;
in:79 out:78 type:B q:1.14 q-aq:0.97 q-noVbv:1.14 q-Rceq:1.08 tex:92 mv:90 misc:222 icu:0.00 pcu:48.50 scu:1775.50 ;
in:77 out:79 type:b q:2.27 q-aq:1.85 q-noVbv:2.27 q-Rceq:1.08 tex:178 mv:98 misc:219 icu:24.00 pcu:8.00 scu:1792.00 ;
in:78 out:80 type:b q:2.27 q-aq:1.85 q-noVbv:2.27 q-Rceq:1.08 tex:178 mv:98 misc:219 icu:24.00 pcu:8.00 scu:1792.00 ;
in:80 out:81 type:b q:2.27 q-aq:1.93 q-noVbv:2.27 q-Rceq:1.08 tex:524 mv:118 misc:230 icu:24.00 pcu:28.00 scu:1772.00 ;
in:84 out:82 type:P q:0.00 q-aq:0.00 q-noVbv:-3.45 q-Rceq:1.08 tex:428 mv:124 misc:217 icu:24.00 pcu:20.00 scu:1780.00 ;
in:83 out:83 type:B q:1.14 q-aq:0.89 q-noVbv:1.14 q-Rceq:1.08 tex:193 mv:89 misc:232 icu:24.00 pcu:20.00 scu:1780.00 ;
in:82 out:84 type:b q:2.27 q-aq:1.94 q-noVbv:2.27 q-Rceq:1.08 tex:0 mv:42 misc:180 icu:0.00 pcu:0.00 scu:1824.00 ;
